2018-09-28 15:38:58 !session id 487b084ae4a90686633bd42ae0d9efe7 
2018-09-28 15:38:58 session verif row db  
2018-09-28 15:39:02 session verif row db  
2018-09-28 15:39:02 session verif row db  
2018-09-28 15:39:02 session verif row db  
2018-09-28 15:39:02 session verif row db  
2018-09-28 15:39:11 session verif row db  
2018-09-28 15:39:32 session verif row db  
2018-09-28 15:39:32 session verif row db  
2018-09-28 15:39:32 session verif row db  
2018-09-28 15:39:32 session verif row db  
2018-09-28 15:39:32 session verif row db  
2018-09-28 15:39:32 session verif row db  
2018-09-28 15:39:36 session verif row db  
2018-09-28 15:39:36 session verif row db  
2018-09-28 15:39:36 session verif row db  
2018-09-28 15:39:36 session verif row db  
2018-09-28 15:39:39 session verif row db  
2018-09-28 15:40:00 session verif row db  
2018-09-28 15:40:22 session verif row db  
2018-09-28 15:40:22 session verif row db  
2018-09-28 15:40:22 session verif row db  
2018-09-28 15:40:22 session verif row db  
2018-09-28 15:47:21 !session id b95827f7eaf65d071b3c03a7f5b76535 
2018-09-28 15:47:21 session verif row db  
2018-09-28 15:47:24 session verif row db  
2018-09-28 15:47:24 session verif row db  
2018-09-28 15:47:24 session verif row db  
2018-09-28 15:47:24 session verif row db  
2018-09-28 15:47:27 session verif row db  
2018-09-28 15:47:28 session verif row db  
2018-09-28 15:47:28 session verif row db  
2018-09-28 15:47:28 session verif row db  
2018-09-28 15:47:28 session verif row db  
2018-09-28 15:47:30 session verif row db  
2018-09-28 15:47:31 session verif row db  
2018-09-28 15:47:31 session verif row db  
2018-09-28 15:47:31 session verif row db  
2018-09-28 15:47:31 session verif row db  
2018-09-28 15:47:35 session verif row db  
2018-09-28 15:47:36 session verif row db  
2018-09-28 15:47:36 session verif row db  
2018-09-28 15:47:36 session verif row db  
2018-09-28 15:47:36 session verif row db  
2018-09-28 15:47:38 session verif row db  
2018-09-28 15:47:39 session verif row db  
2018-09-28 15:47:39 session verif row db  
2018-09-28 15:47:39 session verif row db  
2018-09-28 15:47:39 session verif row db  
2018-09-28 15:47:41 session verif row db  
2018-09-28 15:47:42 session verif row db  
2018-09-28 15:47:42 session verif row db  
2018-09-28 15:47:42 session verif row db  
2018-09-28 15:47:42 session verif row db  
2018-09-28 15:47:44 session verif row db  
2018-09-28 15:47:45 session verif row db  
2018-09-28 15:47:45 session verif row db  
2018-09-28 15:47:45 session verif row db  
2018-09-28 15:47:45 session verif row db  
2018-09-28 15:47:57 session verif row db  
2018-09-28 15:48:04 session verif row db  
2018-09-28 15:48:08 session verif row db  
2018-09-28 15:48:10 session verif row db  
2018-09-28 15:48:12 session verif row db  
2018-09-28 15:48:12 session verif row db  
2018-09-28 15:48:12 session verif row db  
2018-09-28 15:48:12 session verif row db  
2018-09-28 15:48:15 session verif row db  
2018-09-28 15:48:21 session verif row db  
2018-09-28 15:48:42 session verif row db  
2018-09-28 16:14:10 !session id d33e8169aac242888f29440d0cf75e80 
2018-09-28 16:14:10 session verif row db  
2018-09-28 16:19:50 session verif row db  
2018-09-28 16:21:03 session verif row db  
2018-09-28 16:21:03 session verif row db  
2018-09-28 16:21:03 session verif row db  
2018-09-28 16:21:03 session verif row db  
2018-09-28 16:21:07 session verif row db  
2018-09-28 16:22:24 session verif row db  
2018-09-28 16:22:24 session verif row db  
2018-09-28 16:22:24 session verif row db  
2018-09-28 16:22:24 session verif row db  
2018-09-28 16:22:27 session verif row db  
2018-09-28 16:22:29 !session id 02d07eb42ea095bd28aba418be445947 
2018-09-28 16:22:29 session verif row db  
2018-09-28 16:22:31 session verif row db  
2018-09-28 16:22:31 session verif row db  
2018-09-28 16:22:33 session verif row db  
2018-09-28 16:22:34 session verif row db  
2018-09-28 16:22:38 session verif row db  
2018-09-28 16:22:39 session verif row db  
2018-09-28 16:22:43 session verif row db  
2018-09-28 16:22:46 session verif row db  
2018-09-28 16:22:47 session verif row db  
2018-09-28 16:31:56 !session id fef7f8b7c02e34e163be083cf48affbe 
2018-09-28 16:31:56 session verif row db  
2018-09-28 16:33:17 !session id ea79ca18da3b8a95e6aa51b2eb0a7cef 
2018-09-28 16:33:17 session verif row db  
2018-09-28 16:35:23 !session id f51573840a6cc89d1c22de0c0d5a1450 
2018-09-28 16:35:23 session verif row db  
2018-09-28 16:35:37 session verif row db  
2018-09-28 16:35:37 session verif row db  
2018-09-28 16:35:37 session verif row db  
2018-09-28 16:35:37 session verif row db  
2018-09-28 16:36:02 session verif row db  
2018-09-28 16:36:02 session verif row db  
2018-09-28 16:36:02 session verif row db  
2018-09-28 16:36:02 session verif row db  
